0,0,0.04,0.08,0.12,0.16,0.2,0.24,0.28,0.32,0.36,0.4,0.44,0.48,0.52,0.56,0.6,0.64,0.68,0.72,0.76,0.8,0.84,0.88,0.92,0.96,1
600,8.00E-05,0.0002,0.0003,0.00032,0.00034,0.00037,0.00039,0.00041,0.00043,0.00046,0.00048,0.0005,0.00052,0.00055,0.00057,0.00059,0.00061,0.00064,0.00066,0.00068,0.0007,0.00073,0.00075,0.00077,0.00079,0.00082
800,0.00013,0.0002,0.0004,0.00059,0.00071,0.0008,0.00083,0.00085,0.00086,0.00087,0.00088,0.00089,0.0009,0.00091,0.00092,0.00093,0.00094,0.00096,0.00097,0.00098,0.00099,0.001,0.00101,0.00102,0.00103,0.00104
900,0.00016,0.0002,0.00039,0.00062,0.00079,0.00091,0.00099,0.00104,0.00107,0.00108,0.00109,0.00111,0.00112,0.00113,0.00114,0.00115,0.00117,0.00118,0.00119,0.0012,0.00121,0.00123,0.00124,0.00125,0.00126,0.00127
1000,0.00016,0.00021,0.00039,0.00064,0.00088,0.00104,0.00114,0.00123,0.00128,0.00131,0.00133,0.00134,0.00135,0.00137,0.00138,0.0014,0.00141,0.00142,0.00144,0.00145,0.00147,0.00148,0.00149,0.00151,0.00152,0.00154
1100,0.00017,0.00023,0.00039,0.00066,0.00091,0.00113,0.0013,0.0014,0.00148,0.00153,0.00156,0.00158,0.0016,0.00161,0.00163,0.00165,0.00167,0.00168,0.0017,0.00172,0.00174,0.00175,0.00177,0.00179,0.00181,0.00182
1200,0.0002,0.00026,0.0004,0.00066,0.00095,0.00119,0.00139,0.00154,0.00164,0.00173,0.00178,0.00181,0.00183,0.00184,0.00186,0.00188,0.0019,0.00192,0.00194,0.00195,0.00197,0.00199,0.00201,0.00203,0.00205,0.00207
1300,0.00021,0.00028,0.00039,0.00067,0.00095,0.00124,0.00147,0.00166,0.00178,0.00189,0.00195,0.002,0.00203,0.00206,0.00209,0.00212,0.00215,0.00218,0.00222,0.00225,0.00228,0.00231,0.00234,0.00237,0.0024,0.00243
1400,0.00023,0.0003,0.00038,0.00065,0.00096,0.00129,0.00156,0.00178,0.00195,0.00207,0.00215,0.00221,0.00227,0.00231,0.00234,0.00238,0.00241,0.00245,0.00249,0.00252,0.00256,0.00259,0.00263,0.00267,0.0027,0.00274
1500,0.00025,0.00033,0.00041,0.00065,0.00098,0.0013,0.00162,0.00189,0.00212,0.00226,0.00239,0.00246,0.00252,0.00257,0.00261,0.00264,0.00268,0.00272,0.00275,0.00279,0.00282,0.00286,0.0029,0.00293,0.00297,0.003
1600,0.00027,0.00036,0.00044,0.00065,0.00095,0.00133,0.00168,0.00199,0.00223,0.0024,0.00255,0.00265,0.00272,0.00278,0.00284,0.0029,0.00296,0.00302,0.00308,0.00314,0.00319,0.00325,0.00331,0.00337,0.00343,0.00349
1700,0.00033,0.00039,0.00046,0.00065,0.00097,0.00134,0.00174,0.00207,0.00239,0.00265,0.0028,0.00296,0.00307,0.00313,0.0032,0.00326,0.00331,0.00336,0.00342,0.00347,0.00352,0.00357,0.00363,0.00368,0.00373,0.00379
1800,0.00038,0.00045,0.00053,0.00064,0.00097,0.00136,0.00175,0.00216,0.00256,0.00287,0.0031,0.00326,0.00343,0.00365,0.00388,0.0041,0.00424,0.00425,0.00427,0.00429,0.0043,0.00432,0.00434,0.00435,0.00437,0.00439
1900,0.00043,0.00052,0.00061,0.0007,0.00095,0.00137,0.00179,0.00221,0.00272,0.00315,0.00347,0.00384,0.00423,0.00463,0.00487,0.00495,0.00502,0.00509,0.00513,0.00514,0.00516,0.00517,0.00519,0.0052,0.00521,0.00523
2000,0.00047,0.00059,0.00083,0.00118,0.00162,0.0021,0.00259,0.00317,0.00367,0.00403,0.00436,0.00487,0.00537,0.00587,0.00603,0.00608,0.00614,0.0062,0.00624,0.00625,0.00626,0.00627,0.00629,0.0063,0.00631,0.00633
2100,0.00051,0.00064,0.00085,0.00122,0.00165,0.00218,0.0027,0.00333,0.00392,0.00443,0.00477,0.00514,0.00568,0.00621,0.00675,0.00703,0.00709,0.00715,0.00721,0.00726,0.00731,0.00732,0.00733,0.00735,0.00736,0.00738
2200,0.00052,0.00074,0.00095,0.00121,0.00167,0.00218,0.00272,0.00336,0.00404,0.00459,0.00538,0.0064,0.00701,0.00725,0.0075,0.00774,0.00793,0.00799,0.00805,0.00811,0.00817,0.00822,0.00828,0.00829,0.0083,0.00831
2300,0.00059,0.00078,0.00098,0.00117,0.00164,0.00216,0.00272,0.0034,0.0041,0.00505,0.00633,0.0069,0.00747,0.00779,0.00807,0.00835,0.00863,0.0088,0.00886,0.00891,0.00897,0.00903,0.00909,0.00914,0.0092,0.00926
2400,0.00065,0.00083,0.001,0.00119,0.0016,0.00212,0.00273,0.00356,0.00462,0.00551,0.00638,0.00704,0.00762,0.00803,0.0083,0.00857,0.00885,0.00912,0.00925,0.00931,0.00937,0.00943,0.00949,0.00955,0.00961,0.00967
2500,0.00076,0.0009,0.00103,0.00119,0.00162,0.00211,0.00271,0.00357,0.0046,0.00548,0.00642,0.00712,0.00772,0.00816,0.00841,0.00867,0.00892,0.00918,0.0093,0.00935,0.0094,0.00945,0.00951,0.00956,0.00961,0.00966
